#trial,map_id,start_x,start_y,start_z,end_x,end_y,end_z
0,0,-1.723340,-4.168233,1.000000,3.230813,0.271203,1.000000
1,0,-2.338555,-4.092671,1.000000,-4.262509,0.007071,1.000000
2,0,3.206417,0.243961,1.000000,-4.050710,-0.278362,1.000000
3,0,-2.270290,3.237644,1.000000,-2.571202,-4.193711,1.000000
4,0,-2.137596,3.417367,1.000000,1.454220,1.073316,1.000000
5,0,-2.691655,1.346439,1.000000,-2.304052,-4.200032,1.000000
6,0,2.958314,0.384629,1.000000,-3.079680,-0.177667,1.000000
7,0,-4.413772,-2.265092,1.000000,0.088012,-0.785570,1.000000
8,0,-3.183203,-0.087088,1.000000,3.218541,4.021955,1.000000
9,0,3.536284,4.318409,1.000000,-3.717116,-3.571907,1.000000
10,0,2.671664,2.656572,1.000000,-2.025232,1.926374,1.000000
11,0,-2.824278,2.352646,1.000000,0.544998,-0.212569,1.000000
12,0,2.983385,1.758620,1.000000,-3.407156,-4.066370,1.000000
13,0,3.341708,4.085745,1.000000,1.170387,0.690645,1.000000
14,0,1.586246,0.041060,1.000000,-4.142995,-1.309709,1.000000
15,0,-3.187884,1.226596,1.000000,-2.690808,-4.404404,1.000000
16,0,2.311181,4.011493,1.000000,-2.876208,-0.421827,1.000000
17,0,2.548557,3.589783,1.000000,-2.892426,-3.003389,1.000000
18,0,-2.162443,-4.185879,1.000000,2.425929,2.595580,1.000000
19,0,-3.434542,-4.340625,1.000000,-3.472323,0.667766,1.000000
20,0,2.579460,2.982161,1.000000,-1.492093,2.398132,1.000000
21,0,3.151269,3.372450,1.000000,-0.990595,1.066535,1.000000
22,0,-4.042004,-3.960163,1.000000,-2.821919,2.015590,1.000000
23,0,3.070211,1.040266,1.000000,-1.622424,1.927686,1.000000
24,0,-3.166744,-3.461483,1.000000,2.681281,4.289333,1.000000
25,0,2.741337,3.643028,1.000000,-2.574952,2.787346,1.000000
26,0,3.163105,2.309443,1.000000,-2.870731,1.626372,1.000000
27,0,0.786624,0.793471,1.000000,-2.184581,3.742109,1.000000
28,0,2.356382,3.715827,1.000000,-2.703641,-0.086540,1.000000
29,0,-1.357061,1.870768,1.000000,-3.939060,-3.784398,1.000000
30,0,-3.604072,-3.643132,1.000000,0.709882,0.992634,1.000000
31,0,0.679451,-0.471163,1.000000,-3.029278,-3.079007,1.000000
32,0,-3.697334,-1.096627,1.000000,0.188644,0.546203,1.000000
33,0,2.736420,1.018560,1.000000,-1.526376,-3.798895,1.000000
34,0,2.696743,4.155784,1.000000,-2.667553,-3.560219,1.000000
35,0,-4.162129,-2.899761,1.000000,0.395068,-0.097716,1.000000
36,0,3.175588,2.108106,1.000000,-3.016565,0.598796,1.000000
37,0,-2.071958,-3.392336,1.000000,-2.867174,1.406998,1.000000
38,0,0.766832,-1.862598,1.000000,-3.713927,0.036766,1.000000
39,0,1.729041,0.000090,1.000000,-2.517918,1.345165,1.000000
40,0,-3.138763,-3.190842,1.000000,2.613176,-0.343155,1.000000
41,0,-4.304208,-0.825435,1.000000,2.177079,0.171247,1.000000
42,0,1.618382,0.141777,1.000000,-3.728293,-1.418622,1.000000
43,0,-2.965416,0.256509,1.000000,2.095628,1.226721,1.000000
44,0,2.309861,1.838137,1.000000,-3.650838,0.370413,1.000000
45,0,3.471851,1.395278,1.000000,-3.853366,-3.523959,1.000000
46,0,-2.576216,1.543684,1.000000,-1.564494,-4.448030,1.000000
47,0,2.850790,3.233079,1.000000,-2.691679,0.958486,1.000000
48,0,-3.013553,1.208013,1.000000,-3.848633,-3.979325,1.000000
49,0,-1.719985,2.216218,1.000000,1.326141,-1.545365,1.000000
50,0,-1.406688,-2.212170,1.000000,2.704413,3.073069,1.000000
51,0,3.929388,1.224134,1.000000,-3.230412,-3.532073,1.000000
52,0,-2.856952,3.214195,1.000000,2.216332,-0.102999,1.000000
53,0,-3.694940,-0.854063,1.000000,2.306945,2.832543,1.000000
54,0,-3.782298,0.910455,1.000000,2.697303,3.568559,1.000000
55,0,2.951212,1.025767,1.000000,-4.063731,0.871387,1.000000
56,0,0.733521,-1.711905,1.000000,-3.262336,-0.078209,1.000000
57,0,-3.135508,1.515244,1.000000,1.147160,0.319486,1.000000
58,0,-4.223204,0.618691,1.000000,4.272998,-3.720373,1.000000
59,0,4.238465,-4.112021,1.000000,0.812188,0.439621,1.000000
60,0,-2.672577,1.996622,1.000000,-2.007113,-3.556564,1.000000
61,0,1.353080,1.210957,1.000000,-3.583623,0.042405,1.000000
62,0,2.328962,2.858820,1.000000,-2.997947,3.511127,1.000000
63,0,1.155546,1.266448,1.000000,-2.805852,2.051000,1.000000
64,0,-0.187412,0.162370,1.000000,4.238186,1.197714,1.000000
65,0,-4.420999,-3.737934,1.000000,2.550382,4.276350,1.000000
66,0,2.541455,4.230921,1.000000,-3.876477,-1.954336,1.000000
67,0,-4.036474,-1.025941,1.000000,2.576486,3.007115,1.000000
68,0,2.676418,2.564115,1.000000,-1.461408,-1.880683,1.000000
69,0,-2.539215,3.416655,1.000000,-0.061902,-0.383567,1.000000
70,0,3.390956,1.789566,1.000000,-4.259101,-2.716350,1.000000
71,0,-2.774888,2.457989,1.000000,2.608626,3.173416,1.000000
72,0,0.499769,-0.384450,1.000000,-1.956157,2.867998,1.000000
73,0,2.812721,3.399686,1.000000,-2.623963,-0.947723,1.000000
